1 50.0 650.0 5 1 2 3 4 1 
2 150.0 650.0 5 2 5 6 3 2 
3 250.0 650.0 5 5 7 8 6 5 
4 350.0 650.0 5 7 9 10 8 7 
5 450.0 650.0 5 9 11 12 10 9 
6 550.0 650.0 5 11 13 14 12 11 
7 650.0 650.0 5 13 15 16 14 13 
8 50.0 550.0 5 4 3 17 18 4 
9 150.0 550.0 5 3 6 19 17 3 
10 250.0 550.0 7 6 8 20 21 22 19 6 
11 350.0 550.0 7 8 10 23 24 25 20 8 
12 450.0 550.0 7 10 12 26 27 28 23 10 
13 550.0 550.0 5 12 14 29 26 12 
14 650.0 550.0 5 14 16 30 29 14 
15 50.0 450.0 5 18 17 31 32 18 
16 150.0 450.0 7 17 19 33 34 35 31 17 
17 550.0 450.0 7 26 29 36 37 38 39 26 
18 650.0 450.0 5 29 30 40 36 29 
19 50.0 350.0 5 32 31 41 42 32 
20 150.0 350.0 7 31 35 43 44 45 41 31 
21 550.0 350.0 7 37 36 46 47 48 49 37 
22 650.0 350.0 5 36 40 50 46 36 
23 50.0 250.0 5 42 41 51 52 42 
24 150.0 250.0 7 41 45 53 54 55 51 41 
25 550.0 250.0 7 47 46 56 57 58 59 47 
26 650.0 250.0 5 46 50 60 56 46 
27 50.0 150.0 5 52 51 61 62 52 
28 150.0 150.0 5 51 55 63 61 51 
29 250.0 150.0 7 55 64 65 66 67 63 55 
30 350.0 150.0 7 66 68 69 70 71 67 66 
31 450.0 150.0 7 70 72 73 57 74 71 70 
32 550.0 150.0 5 57 56 75 74 57 
33 650.0 150.0 5 56 60 76 75 56 
34 50.0 50.0 5 62 61 77 78 62 
35 150.0 50.0 5 61 63 79 77 61 
36 250.0 50.0 5 63 67 80 79 63 
37 350.0 50.0 5 67 71 81 80 67 
38 450.0 50.0 5 71 74 82 81 71 
39 550.0 50.0 5 74 75 83 82 74 
40 650.0 50.0 5 75 76 84 83 75 
41 218.687033333 207.586233333 4 85 64 55 85 
42 207.575933333 218.697333333 4 85 55 54 85 
43 207.5435 481.3812 4 86 33 19 86 
44 218.6546 492.4923 4 86 19 22 86 
45 481.4935 492.5421 4 87 27 26 87 
46 492.6046 481.431 4 87 26 39 87 
47 492.2984 218.947766667 4 88 58 57 88 
48 481.1873 207.836666667 4 88 57 73 88 
49 209.481233333 449.710366667 4 89 34 33 89 
50 217.024733333 464.4249 4 89 33 86 89 
51 449.951666667 490.681633333 4 90 28 27 90 
52 464.7785 483.223733333 4 90 27 87 90 
53 489.934466667 251.215566667 4 91 59 58 91 
54 482.232866667 236.83 4 91 58 88 91 
55 250.4636 209.645333333 4 92 65 64 92 
56 235.8173 217.231566667 4 92 64 85 92 
57 217.202533333 235.8624 4 93 85 54 93 
58 209.6266 250.4984 4 93 54 53 93 
59 234.3328 234.396633333 4 93 92 85 93 
60 235.771166667 482.962833333 4 94 86 22 94 
61 250.4499 490.470533333 4 94 22 21 94 
62 234.1413 466.006533333 4 94 89 86 94 
63 483.3487 464.482833333 4 95 87 39 95 
64 490.7441 449.7185 4 95 39 38 95 
65 466.6337 466.275566667 4 95 90 87 95 
66 463.933166667 217.6651 4 96 88 73 96 
67 449.412533333 209.828433333 4 96 73 72 96 
68 464.978733333 235.547333333 4 96 91 88 96 
69 210.4417 417.0765 4 97 35 34 97 
70 219.922933333 433.453533333 4 97 34 89 97 
71 417.418633333 489.8037 4 98 23 28 98 
72 434.036966667 480.485333333 4 98 28 90 98 
73 487.277166667 285.143266667 4 99 47 59 99 
74 477.211633333 269.692166667 4 99 59 91 99 
75 283.167766667 210.2814 4 100 66 65 100 
76 266.9647 219.926733333 4 100 65 92 100 
77 219.866766667 267.084166667 4 101 93 53 101 
78 210.240166667 283.252433333 4 101 53 45 101 
79 210.605966667 383.9099 4 102 43 35 102 
80 221.047666667 400.9864 4 102 35 97 102 
