1   1   0   0   0   0   0   0   0   0
1   1   1   0   0   3   3   3   0   0
0   1   1   1   3   3   3   3   0   0
8   8   2   2   2   2   2   3   3   0
8   8   8   8   2   2   2   3   4   4
8   8   8   8   8   2   2   4   4   4
8   8   8   8   8   2   5   5   5   0
0   8   8   8   8   2   5   5   5   0
0   8   8   8   8   6   6   6   6   0
0   8   8   8   8   6   6   6   6   6
0   8   8   8   8   8   6   6   7   0
8   8   8   8   8   8   6   7   7   0
8   8   8   8   8   8   7   7   7   0
0   8   8   8   8   8   7   7   7   0
0   0   8   8   8   8   0   0   0   0
